pl_name,hostname,st_met,pl_bmassj,pl_bmasse,log_mass,is_giant,planet_type,met_group,pl_orbper,st_teff,st_mass,discoverymethod
TOI-2818 b,TOI-2818,-0.02,0.71,225.65816897,-0.14874165128092473,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),4.039709,5721.0,0.977,Transit
TOI-283 b,TOI-283,-0.09,0.02057714,6.54,-1.6866149876169407,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),17.61745,5213.0,0.8,Transit
TOI-2842 b,TOI-2842,0.233,0.37,117.59651059,-0.431798275933005,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.5514058,5910.0,1.135,Transit
TOI-286 b,TOI-286,-0.05,0.01425297,4.53,-1.846094628973822,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),4.5117244,5152.0,0.832,Transit
TOI-286 c,TOI-286,-0.05,0.01170443,3.72,-1.931649731380626,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),39.361826,5152.0,0.832,Transit
TOI-2876 b,TOI-2876,0.353,0.17,54.03082919,-0.769551078621726,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),6.2996431,5271.0,0.939,Transit
TOI-2886 b,TOI-2886,0.284,1.4,444.9597698,0.146128035678238,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),1.60200105,6240.0,1.229,Transit
TOI-2969 b,TOI-2969,0.08,1.16,368.68095212,0.06445798922691845,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),1.8237146,4738.0,0.71,Transit
TOI-2977 b,TOI-2977,0.013,1.68,533.95172376,0.22530928172586284,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),2.3505614,5691.0,0.936,Transit
TOI-2981 b,TOI-2981,-0.11,2.00737249,638.0,0.3026279680736855,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.601501,5940.0,1.03,Transit
TOI-2986 b,TOI-2986,0.095,0.304,96.61983573,-0.5171264163912462,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.2783662,5906.0,1.122,Transit
TOI-2989 b,TOI-2989,-0.04,3.0,953.485221,0.47712125471966244,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.122832,4672.0,0.77,Transit
TOI-2992 b,TOI-2992,0.084,3.33,1058.36859531,0.5224442335063199,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.007812,6000.0,1.21,Transit
TOI-3023 b,TOI-3023,0.085,0.62,197.05361234,-0.20760831050174613,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.9014971,5760.0,1.12,Transit
TOI-3053 b,TOI-3053,0.2,0.85,270.15414595,-0.07058107428570728,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),2.9919987,5378.0,0.96,Transit
TOI-3071 b,TOI-3071,0.35,0.2145812,68.2,-0.668408330337989,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),1.266938,6177.0,1.29,Transit
TOI-3135 b,TOI-3135,0.071,1.03,327.36325921,0.012837224705172217,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.7065585,5890.0,1.044,Transit
TOI-3160 A b,TOI-3160 A,-0.114,1.19,378.21580433,0.07554696139253074,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.971281,6190.0,1.088,Transit
TOI-3235 b,TOI-3235,0.264,0.665,211.35589065,-0.17717835469689538,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),2.59261842,3388.8,0.3939,Transit
TOI-3261 b,TOI-3261,0.138,0.09533446,30.3,-1.0207500890497982,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),0.8831331,5068.0,0.861,Transit
TOI-3278 b,TOI-3278,0.04,0.3,95.3485221,-0.5228787452803376,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.246456,5720.0,1.04,Transit
TOI-3288 b,TOI-3288,0.65,1.687,536.17652261,0.22711508258912522,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),1.4338647,4072.0,0.643,Transit
TOI-329 b,TOI-329,0.205,0.12711262,40.4,-0.8958113296640854,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),5.70439,5614.0,1.0678,Transit
TOI-332 b,TOI-332,0.256,0.17997133,57.2,-0.7447966738661551,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),0.777038,5251.0,0.88,Transit
TOI-3321 b,TOI-3321,-0.103,0.554,176.07693748,-0.2564902352715702,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.6525145,5850.0,1.041,Transit
TOI-333 b,TOI-333,0.01,0.06324167,20.1,-1.1989966703304564,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),3.7852503,6241.0,1.2,Transit
TOI-3331 A b,TOI-3331 A,0.148,2.27,721.47048389,0.35602585719312274,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),2.0180231,5609.0,1.016,Transit
TOI-3362 b,TOI-3362,0.017,5.029,1598.3590588,0.7014816356209271,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),18.09547,6532.0,1.445,Transit
TOI-3364 b,TOI-3364,0.387,1.67,530.77343969,0.22271647114758325,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),5.8768918,5706.0,1.186,Transit
TOI-3457 b,TOI-3457,0.28,2.51,797.74930157,0.3996737214810381,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),32.600268,6300.0,1.04,Transit
TOI-3464 b,TOI-3464,0.045,1.25,397.28550875,0.09691001300805642,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.6515568,6370.0,1.363,Transit
TOI-3474 b,TOI-3474,0.146,0.61,193.87532827,-0.21467016498923297,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.8795105,6020.0,1.121,Transit
TOI-3486 b,TOI-3486,0.283,0.312,99.16246298,-0.5058454059815573,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),2.21778105,4930.0,0.837,Transit
TOI-3493 b,TOI-3493,0.03,0.02822278,8.97,-1.5494002096038146,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),8.1594667,5844.0,1.023,Transit
TOI-3523 A b,TOI-3523 A,-0.366,1.37,435.42491759,0.1367205671564068,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),2.30458952,6450.0,1.131,Transit
TOI-3540 A b,TOI-3540 A,0.176,1.18,375.03752026,0.07188200730612536,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.119999,5810.0,1.081,Transit
TOI-3568 b,TOI-3568,-0.01,0.083,26.4,-1.080921907623926,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),4.417965,4969.0,0.78,Transit
TOI-3593 b,TOI-3593,0.384,1.78,565.73456446,0.250420002308894,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.8212867,5550.0,1.015,Transit
TOI-3629 b,TOI-3629,0.4,0.26,82.63538582,-0.585026652029182,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.936551,3870.0,0.63,Transit
TOI-3664 b,TOI-3664,0.17,0.36,114.41822652,-0.44369749923271273,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.2974839,5593.0,0.98,Transit
TOI-3682 b,TOI-3682,0.416,0.218,69.28659273,-0.6615435063953952,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.3462406,5703.0,1.32,Transit
TOI-3688 A b,TOI-3688 A,0.262,0.98,311.47183886,-0.00877392430750515,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.246075,5950.0,1.199,Transit
