pl_name,hostname,st_met,pl_bmassj,pl_bmasse,log_mass,is_giant,planet_type,met_group,pl_orbper,st_teff,st_mass,discoverymethod
11 Com b,11 Com,-0.26,15.464,4914.89848585,1.1893218410204967,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),323.21,4874.0,2.09,Radial Velocity
11 UMi b,11 UMi,-0.02,14.74,4684.8142,1.1684974835230326,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),516.21997,4213.0,2.78,Radial Velocity
14 And b,14 And,-0.21,3.559,1131.15130051,0.551327988003846,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),186.76,4888.0,1.78,Radial Velocity
14 Her b,14 Her,0.43,8.9,2828.6728223,0.9493900066449128,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),,,0.97,Radial Velocity
16 Cyg B b,16 Cyg B,0.06,1.78,565.7374,0.250420002308894,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),798.5,5750.0,1.08,Radial Velocity
17 Sco b,17 Sco,-0.01,4.32,1373.01871824,0.6354837468149122,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),578.38,4157.0,1.22,Radial Velocity
18 Del b,18 Del,-0.06,9.207,2926.24614325,0.964118143151485,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),982.85,4980.0,2.1,Radial Velocity
24 Boo b,24 Boo,-0.78,0.883,280.64248338,-0.05403929642243141,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),30.33,4816.0,1.05,Radial Velocity
24 Sex b,24 Sex,-0.03,1.99,632.46,0.29885307640970665,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),452.8,5098.0,1.54,Radial Velocity
24 Sex c,24 Sex,-0.03,0.86,273.32,-0.06550154875643228,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),883.0,5098.0,1.54,Radial Velocity
2M0437 b,2MASS J04372171+2651014,0.01,4.0,1271.313628,0.6020599913279624,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),,3100.0,0.17,Imaging
4 UMa b,4 UMa,-0.25,7.902,2511.48007211,0.8977370253454274,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),270.27,4415.0,1.234,Radial Velocity
47 UMa b,47 UMa,0.04,2.53,804.08,0.40312052117581787,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),1078.0,5872.0,1.06,Radial Velocity
47 UMa c,47 UMa,0.04,0.54,171.621,-0.26760624017703144,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),2391.0,5872.0,1.06,Radial Velocity
47 UMa d,47 UMa,0.04,1.64,521.22,0.21484384804769785,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),14002.0,5872.0,1.06,Radial Velocity
55 Cnc B b,55 Cnc B,0.16,0.01101223,3.5,-1.9581247265660566,0,Terrestrial (Earth-like),Metal-rich ([Fe/H] > +0.15),6.7994,3286.0,0.26,Radial Velocity
55 Cnc B c,55 Cnc B,0.16,0.01667566,5.3,-1.777916968284836,0,Terrestrial (Earth-like),Metal-rich ([Fe/H] > +0.15),33.747,3286.0,0.26,Radial Velocity
55 Cnc b,55 Cnc,0.39,0.86839311,276.0,-0.06128363098091903,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),14.651552,5198.0,1.015,Radial Velocity
55 Cnc c,55 Cnc,0.39,0.17808352,56.6,-0.749376268657009,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),44.3936,5198.0,1.015,Radial Velocity
55 Cnc d,55 Cnc,0.39,3.82,1214.10451474,0.5820633629117087,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),4799.0,5198.0,1.015,Radial Velocity
55 Cnc e,55 Cnc,0.35,0.02513923,7.99,-1.5996480286338461,0,Terrestrial (Earth-like),Metal-rich ([Fe/H] > +0.15),0.7365474,5172.0,0.905,Radial Velocity
55 Cnc f,55 Cnc,0.39,0.15259807,48.5,-0.8164509591311422,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),260.58,5198.0,1.015,Radial Velocity
6 Lyn b,6 Lyn,-0.17,1.881,597.83523357,0.2743887955503789,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),919.86,4941.0,1.32,Radial Velocity
61 Vir b,61 Vir,-0.01,0.016,5.1,-1.7958800173440752,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),4.215,5577.0,0.942,Radial Velocity
61 Vir c,61 Vir,-0.01,0.057,18.2,-1.2441251443275085,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),38.021,5577.0,0.942,Radial Velocity
61 Vir d,61 Vir,-0.01,0.072,22.9,-1.1426675035687315,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),123.01,5577.0,0.942,Radial Velocity
7 CMa b,7 CMa,0.21,1.85,587.9855,0.26717172840301384,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),735.1,4826.0,1.34,Radial Velocity
7 CMa c,7 CMa,0.21,0.87,276.5121,-0.060480747381381476,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),996.0,4826.0,1.34,Radial Velocity
75 Cet b,75 Cet,0.1,2.479,787.89662095,0.39427652676782143,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),696.62,4809.0,1.92,Radial Velocity
75 Cet c,75 Cet,0.1,0.912,289.85950718,-0.04000516167158381,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),2051.62,4809.0,1.92,Radial Velocity
8 UMi b,8 UMi,-0.03,1.65,524.41687155,0.21748394421390627,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),93.31,4847.0,1.51,Radial Velocity
81 Cet b,81 Cet,-0.11,3.307,1051.05854195,0.5194341949137028,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),1005.57,4734.0,1.23,Radial Velocity
91 Aqr b,91 Aqr,-0.03,3.2,1017.0,0.505149978319906,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),181.4,4665.0,1.4,Radial Velocity
AU Mic b,AU Mic,0.01,0.0282857,8.99,-1.5484330690934285,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),8.463446,3540.0,0.635,Transit
AU Mic c,AU Mic,0.01,0.04549625,14.46,-1.3420243983192313,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),18.859023,3540.0,0.635,Transit
AU Mic d,AU Mic,0.23,0.00331,1.053,-2.480172006224281,0,Terrestrial (Earth-like),Metal-rich ([Fe/H] > +0.15),12.73596,3678.0,0.51,Transit Timing Variations
AU Mic e,AU Mic,0.12,0.06638802,21.1,-1.1779102838443765,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),33.11,3665.0,0.6,Radial Velocity
BD+03 2562 b,BD+03 2562,-0.71,6.4,2034.112,0.8061799739838872,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),481.9,4095.0,1.14,Radial Velocity
BD+05 4868 A b,BD+05 4868 A,-0.05,0.01950738,6.2,-1.7098010559745507,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),1.271869,4596.0,0.7,Transit
BD+14 4559 b,BD+14 4559,0.17,1.04,330.5432,0.01703333929878037,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),268.94,4864.0,0.49,Radial Velocity
BD+15 2375 b,BD+15 2375,-0.22,1.061,337.21763,0.025715383901340642,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),153.22,4649.0,1.08,Radial Velocity
BD+15 2940 b,BD+15 2940,0.28,1.11,352.78,0.045322978786657475,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),137.48,4796.0,1.1,Radial Velocity
BD+20 2457 b,BD+20 2457,-1.0,21.42,6807.63,1.3308194664958368,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),379.63,4137.0,2.8,Radial Velocity
BD+20 2457 c,BD+20 2457,-1.0,12.47,3963.17,1.0958664534785427,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),621.99,4137.0,2.8,Radial Velocity
BD+20 274 b,BD+20 274,-0.46,4.2,1334.886,0.6232492903979004,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),578.2,4296.0,0.8,Radial Velocity
BD+20 594 b,BD+20 594,-0.15,0.07,22.2481,-1.154901959985743,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),41.6855,5766.0,1.67,Transit
BD+37 3172 b,BD+37 3172,-0.03,10.6,3368.9811142,1.0253058652647702,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),1887.76,4500.0,3.75,Radial Velocity
BD+42 2315 b,BD+42 2315,-0.2,0.55,174.80562385,-0.2596373105057561,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),123.05,4500.0,1.38,Radial Velocity
BD+45 564 b,BD+45 564,-0.09,1.36,432.24663352,0.13353890837021754,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),307.88,5004.0,0.81,Radial Velocity
BD+48 738 b,BD+48 738,-0.2,0.91,289.2253,-0.040958607678906384,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),392.6,4414.0,0.74,Radial Velocity
BD+48 740 b,BD+48 740,-0.13,1.7,540.311,0.2304489213782739,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),733.0,4534.0,1.09,Radial Velocity
BD+49 828 b,BD+49 828,-0.19,1.6,508.5,0.2041199826559248,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),2590.0,4943.0,1.52,Radial Velocity
BD+55 362 b,BD+55 362,0.18,0.72,228.83645304,-0.14266750356873156,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),265.59,5012.0,0.909,Radial Velocity
BD+63 1405 b,BD+63 1405,-0.09,3.96,1258.60049172,0.5976951859255123,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),1198.48,5000.0,0.816,Radial Velocity
BD-06 1339 b,BD-06 1339,-0.14,0.027,8.5,-1.5686362358410126,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.8728,4324.0,0.7,Radial Velocity
BD-06 1339 c,BD-06 1339,-0.14,0.17,53.0,-0.769551078621726,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),125.94,4324.0,0.7,Radial Velocity
BD-08 2823 b,BD-08 2823,-0.06,0.04,12.7132,-1.3979400086720375,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),5.6,4816.0,0.5,Radial Velocity
BD-08 2823 c,BD-08 2823,-0.07,0.33,104.0,-0.4814860601221125,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),237.6,4746.0,0.74,Radial Velocity
BD-10 3166 b,BD-10 3166,0.38,0.59,187.5197,-0.22914798835785583,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.48777,5393.0,1.47,Radial Velocity
BD-11 4672 b,BD-11 4672,-0.35,0.65,206.5895,-0.18708664335714442,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),1634.0,4550.0,0.651,Radial Velocity
BD-11 4672 c,BD-11 4672,-0.35,0.04835919,15.37,-1.3155209820353437,0,Neptunian / Sub-Neptune,Metal-poor ([Fe/H] < -0.15),74.2,4550.0,0.651,Radial Velocity
BD-13 2130 b,BD-13 2130,-0.08,9.78,3108.3774,0.9903388547876014,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),714.29999,4545.0,2.12,Radial Velocity
BD-14 3065 b,BD-14 3065 A,-0.34,12.37,3932.0,1.0923696996291206,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),4.2889731,6935.0,1.41,Transit
BD-210397 b,BD-210397,0.12,0.7,214.0,-0.1549019599857432,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),1891.0,4051.0,0.679,Radial Velocity
BEBOP-3 b,BEBOP-3,-0.02,0.558,177.34825111,-0.25336580106242124,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),547.0,6033.0,1.083,Radial Velocity
Barnard b,Barnard's star,-0.56,0.00094076,0.299,-3.0265211565619254,0,Terrestrial (Earth-like),Metal-poor ([Fe/H] < -0.15),3.1542,3195.0,0.162,Radial Velocity
Barnard c,Barnard's star,-0.56,0.00105403,0.335,-2.9771470279763745,0,Terrestrial (Earth-like),Metal-poor ([Fe/H] < -0.15),4.1244,3195.0,0.162,Radial Velocity
Barnard d,Barnard's star,-0.56,0.00082749,0.263,-3.08223724585564,0,Terrestrial (Earth-like),Metal-poor ([Fe/H] < -0.15),2.3402,3195.0,0.162,Radial Velocity
Barnard e,Barnard's star,-0.56,0.00060725,0.193,-3.216632476522832,0,Terrestrial (Earth-like),Metal-poor ([Fe/H] < -0.15),6.7392,3195.0,0.162,Radial Velocity
CD Cet b,CD Cet,0.13,0.01242809,3.95,-1.9055956103927756,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),2.2907,3130.0,0.161,Radial Velocity
CoRoT-1 b,CoRoT-1,-0.3,1.03,327.35,0.012837224705172217,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),1.5089557,5950.0,0.95,Transit
CoRoT-10 b,CoRoT-10,0.26,2.75,874.0,0.43933269383026263,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),13.2406,5075.0,0.89,Transit
CoRoT-11 b,CoRoT-11,-0.03,2.33,740.51,0.367355921026019,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),2.99433,6440.0,1.27,Transit
CoRoT-12 b,CoRoT-12,0.16,0.917,291.438,-0.03763066432997889,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),2.828042,5675.0,1.078,Transit
CoRoT-13 b,CoRoT-13,0.01,1.308,415.704,0.11660774398824848,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),4.03519,5945.0,1.09,Transit
CoRoT-14 b,CoRoT-14,0.05,7.6,2415.4,0.8808135922807914,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),1.51214,6035.0,1.13,Transit
CoRoT-16 b,CoRoT-16,0.19,0.535,170.032,-0.27164621797877153,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),5.35227,5650.0,1.098,Transit
CoRoT-17 b,CoRoT-17,0.0,2.43,772.29,0.38560627359831223,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.7681,5740.0,1.04,Transit
CoRoT-18 b,CoRoT-18,-0.1,3.47,1102.82,0.5403294747908738,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),1.9000693,5440.0,0.95,Transit
CoRoT-19 b,CoRoT-19,-0.02,1.11,352.78,0.045322978786657475,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.89713,6090.0,1.21,Transit
CoRoT-21 b,CoRoT-21,0.0,2.26,718.2958,0.35410843914740087,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),2.72474,6200.0,1.29,Transit
CoRoT-22 b,CoRoT-22,0.17,0.038,12.2,-1.4202164033831899,0,Neptunian / Sub-Neptune,Metal-rich ([Fe/H] > +0.15),9.75598,5939.0,1.099,Transit
CoRoT-23 b,CoRoT-23,0.05,2.8,889.9,0.4471580313422192,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.6313,5900.0,1.14,Transit
CoRoT-24 b,CoRoT-24,0.3,0.018,5.7,-1.744727494896694,0,Terrestrial (Earth-like),Metal-rich ([Fe/H] > +0.15),5.1134,4950.0,0.91,Transit
CoRoT-24 c,CoRoT-24,0.3,0.088,28.0,-1.0555173278498313,0,Neptunian / Sub-Neptune,Metal-rich ([Fe/H] > +0.15),11.759,4950.0,0.91,Transit
CoRoT-25 b,CoRoT-25,-0.01,0.27,85.81,-0.5686362358410126,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),4.86069,6040.0,1.09,Transit
CoRoT-26 b,CoRoT-26,0.01,0.52,165.26,-0.28399665636520083,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),4.20474,5590.0,1.09,Transit
CoRoT-27 b,CoRoT-27,-0.1,10.39,3302.11,1.0166155475571774,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.57532,5900.0,1.05,Transit
CoRoT-28 b,CoRoT-28,0.15,0.484,153.82972,-0.31515463835558755,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),5.20851,5150.0,1.01,Transit
CoRoT-29 b,CoRoT-29,0.2,0.85,270.1555,-0.07058107428570728,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),2.85057,5260.0,0.97,Transit
CoRoT-30 b,CoRoT-30,0.02,2.9,921.707,0.4623979978989561,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),9.06005,5650.0,0.98,Transit
CoRoT-31 b,CoRoT-31,0.0,0.84,266.9772,-0.07572071393811836,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),4.62941,5700.0,1.25,Transit
CoRoT-32 b,CoRoT-32,0.0,0.15,47.6745,-0.8239087409443188,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),6.71837,5970.0,1.08,Transit
CoRoT-35 b,CoRoT-35,-0.5,1.1,349.6112477,0.04139268515822508,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),3.22748,6390.0,1.01,Transit
CoRoT-36 b,CoRoT-36,-0.1,0.68,216.12331676,-0.16749108729376366,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),5.616531,6730.0,1.32,Transit
CoRoT-5 b,CoRoT-5,-0.25,0.467,148.42,-0.33068311943388784,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),4.0378962,6100.0,1.0,Transit
CoRoT-6 b,CoRoT-6,-0.2,2.96,940.74,0.4712917110589386,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),8.886593,6090.0,1.05,Transit
CoRoT-7 b,CoRoT-7,0.05,0.01282637,4.07660518,-1.8918962362228808,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),0.85359163,5275.0,0.82,Transit
CoRoT-7 c,CoRoT-7,0.06,0.02642922,8.4,-1.5779156539206756,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.698,5256.0,0.899,Radial Velocity
CoRoT-8 b,CoRoT-8,0.3,0.22,69.92,-0.6575773191777937,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),6.21229,5080.0,0.88,Transit
CoRoT-9 b,CoRoT-9,-0.01,0.84,266.9772,-0.07572071393811836,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),95.272656,5625.0,0.96,Transit
DMPP-4 b,DMPP-4,-0.007,0.03838549,12.2,-1.41583291114837,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),3.4982,6400.0,1.25,Radial Velocity
DMPP-7 b,DMPP-7,0.13,0.21696613,68.958,-0.6636080574057416,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),4.92666,6096.0,1.23,Radial Velocity
EPIC 201595106 b,EPIC 201595106,0.01,0.02413252,7.67,-1.6173973252130225,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),0.87724,5679.0,0.958,Transit
EPIC 220674823 b,EPIC 220674823,-0.005,0.02372349,7.54,-1.6248214208622114,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),0.57130782,5578.0,0.913,Transit
EPIC 220674823 c,EPIC 220674823,-0.005,0.02485618,7.9,-1.6045656147287946,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),13.340603,5578.0,0.913,Transit
EPIC 229004835 b,EPIC 229004835,-0.12,0.03272206,10.4,-1.485159363360399,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),16.141132,5868.0,0.97,Transit
EPIC 246851721 b,EPIC 246851721,0.141,3.0,953.49,0.47712125471966244,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),6.180235,6202.0,1.317,Transit
EPIC 248847494 b,EPIC 248847494,-0.23,13.0,4131.79,1.1139433523068367,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),3650.0,4898.0,0.9,Transit
EPIC 249893012 b,EPIC 249893012,0.2,0.02753044,8.75,-1.5601868475225795,0,Terrestrial (Earth-like),Metal-rich ([Fe/H] > +0.15),3.5951,5430.0,1.05,Transit
EPIC 249893012 c,EPIC 249893012,0.2,0.04615675,14.67,-1.335764778421583,0,Neptunian / Sub-Neptune,Metal-rich ([Fe/H] > +0.15),15.624,5430.0,1.05,Transit
EPIC 249893012 d,EPIC 249893012,0.2,0.0320297,10.18,-1.4944471290525294,0,Neptunian / Sub-Neptune,Metal-rich ([Fe/H] > +0.15),35.747,5430.0,1.05,Transit
G 264-012 b,G 264-012,0.1,0.00786588,2.5,-2.1042526833693636,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),2.30538,3326.0,0.297,Radial Velocity
G 264-012 c,G 264-012,0.1,0.01179882,3.75,-1.9281614243136822,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),8.0518,3326.0,0.297,Radial Velocity
G 9-40 b,G 9-40,-0.07,0.01258541,4.0,-1.9001326316978855,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),5.7459982,3395.0,0.2952,Transit
GJ 1002 b,GJ 1002,-0.25,0.00339806,1.08,-2.468768957003506,0,Terrestrial (Earth-like),Metal-poor ([Fe/H] < -0.15),10.3465,3024.0,0.12,Radial Velocity
GJ 1002 c,GJ 1002,-0.25,0.00427904,1.36,-2.368653653759563,0,Terrestrial (Earth-like),Metal-poor ([Fe/H] < -0.15),21.202,3024.0,0.12,Radial Velocity
GJ 1061 b,GJ 1061,-0.08,0.00349245,1.11,-2.4568698027884506,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.2073,2953.0,0.12,Radial Velocity
GJ 1061 c,GJ 1061,-0.08,0.0056949,1.81,-2.244513897542649,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),6.6821,2953.0,0.12,Radial Velocity
GJ 1061 d,GJ 1061,-0.08,0.00525441,1.67,-2.279476042362589,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),13.066,2953.0,0.12,Radial Velocity
GJ 1132 b,GJ 1132,-0.17,0.00578,1.83704819,-2.238072161579471,0,Terrestrial (Earth-like),Metal-poor ([Fe/H] < -0.15),1.62892911,3229.0,0.1945,Transit
GJ 1132 c,GJ 1132,-0.18,0.00915588,2.91,-2.038299907967716,0,Terrestrial (Earth-like),Metal-poor ([Fe/H] < -0.15),8.929,,0.198,Radial Velocity
GJ 1137 c,HD 93083,0.13,0.01610932,5.12,-1.7929227914541883,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),9.6412,5033.8,0.836,Radial Velocity
GJ 1151 c,GJ 1151,-0.12,0.03341426,10.62,-1.476068152420738,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),389.7,3280.0,0.1639,Radial Velocity
GJ 1214 b,GJ 1214,0.24,0.02646082,8.41,-1.5773967014955645,0,Terrestrial (Earth-like),Metal-rich ([Fe/H] > +0.15),1.580404531,3101.0,0.182,Transit
GJ 1252 b,GJ 1252,0.1,0.00415318,1.32,-2.381619246036113,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),0.5182331,3458.0,0.381,Transit
GJ 1265 b,GJ 1265,-0.04,0.02328289,7.4,-1.632963113663307,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),3.6511,3236.0,0.178,Radial Velocity
GJ 1289 b,GJ 1289,0.02,0.01972763,6.27,-1.704925086047674,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),111.74,3296.0,0.21,Radial Velocity
GJ 143 b,GJ 143,0.003,0.07142183,22.7,-1.146169026325819,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),35.61253,4640.0,0.73,Transit
GJ 15 A b,GJ 15 A,-0.34,0.0095334,3.03,-2.020752184576889,0,Terrestrial (Earth-like),Metal-poor ([Fe/H] < -0.15),11.4407,3607.0,0.38,Radial Velocity
GJ 15 A c,GJ 15 A,-0.34,0.1132681,36.0,-0.945892384440737,1,Gas Giant (Jupiter-like),Metal-poor ([Fe/H] < -0.15),7600.0,3607.0,0.38,Radial Velocity
GJ 179 b,GJ 179,0.3,0.82,260.61,-0.08618614761628333,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),2288.0,3370.0,0.357,Radial Velocity
GJ 2126 b,GJ 2126,0.6,1.3,413.1769291,0.11394335230683679,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),272.7,4159.0,0.65,Radial Velocity
GJ 251 b,GJ 251,0.07,0.01211345,3.85,-1.9167321489645792,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),14.237,3342.0,0.35,Radial Velocity
GJ 251 c,GJ 251,0.07,0.01220785,3.88,-1.9133608156090918,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),53.647,3342.0,0.35,Radial Velocity
GJ 273 b,GJ 273,0.09,0.00909291,2.89,-2.041297107460698,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),18.6498,3382.0,0.29,Radial Velocity
GJ 273 c,GJ 273,0.09,0.00371268,1.18,-2.4303124814830275,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),4.7234,3382.0,0.29,Radial Velocity
GJ 3021 b,GJ 3021,0.1,3.37,1071.04,0.5276299008713387,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),133.71,5540.0,0.9,Radial Velocity
GJ 3090 b,GJ 3090,0.12,0.01422151,4.52,-1.8470542889893922,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),2.85310198,3707.0,0.519,Transit
