pl_name,hostname,pl_letter,pl_bmasse,pl_bmassj,pl_rade,pl_orbper,st_met,st_teff,st_mass,st_rad,disc_year,discoverymethod
"Kepler-6 b","Kepler-6","b",212.31044000,0.66800000,14.61653600,3.23469960000,0.3400,5647.00,1.209000,1.391000,2009,"Transit"
"Kepler-60 b","Kepler-60","b",4.19000000,0.01318315,1.71000000,7.13340000000,-0.0900,5905.00,1.041000,1.257000,2012,"Transit"
"Kepler-60 c","Kepler-60","c",3.85000000,0.01211339,1.90000000,8.91870000000,-0.0900,5905.00,1.041000,1.257000,2012,"Transit"
"Kepler-60 d","Kepler-60","d",4.16000000,0.01308876,1.99000000,11.89810000000,-0.0900,5905.00,1.041000,1.257000,2012,"Transit"
"Kepler-62 b","Kepler-62","b",9.00000000,0.03000000,1.31000000,5.71493200000,-0.3700,4925.00,0.690000,0.640000,2013,"Transit"
"Kepler-62 c","Kepler-62","c",4.00000000,0.01300000,0.54000000,12.44170000000,-0.3700,4925.00,0.690000,0.640000,2013,"Transit"
"Kepler-62 d","Kepler-62","d",14.00000000,0.04400000,1.95000000,18.16406000000,-0.3700,4925.00,0.690000,0.640000,2013,"Transit"
"Kepler-62 e","Kepler-62","e",36.00000000,0.11300000,1.61000000,122.38740000000,-0.3700,4925.00,0.690000,0.640000,2013,"Transit"
"Kepler-62 f","Kepler-62","f",35.00000000,0.11000000,1.41000000,267.29100000000,-0.3700,4925.00,0.690000,0.640000,2013,"Transit"
"Kepler-63 b","Kepler-63","b",120.00000000,0.37800000,6.11000000,9.43415050000,0.0500,5576.00,0.984000,0.901000,2013,"Transit"
"Kepler-68 b","Kepler-68","b",8.03000000,0.02526521,2.35700000,5.39875259000,0.1100,5847.00,1.057000,1.256400,2013,"Transit"
"Kepler-68 c","Kepler-68","c",1.30000000,0.00409026,0.97900000,9.60502700000,0.1100,5847.00,1.057000,1.256400,2013,"Transit"
"Kepler-68 d","Kepler-68","d",238.05347684,0.74900000,,632.62000000000,0.1100,5847.00,1.057000,1.256400,2013,"Radial Velocity"
"Kepler-68 e","Kepler-68","e",86.44932670,0.27200000,,3455.00000000000,0.1100,5847.00,1.057000,1.256400,2023,"Radial Velocity"
"Kepler-7 b","Kepler-7","b",140.16303000,0.44100000,18.18099800,4.88548920000,0.1100,5933.00,1.359000,1.966000,2009,"Transit"
"Kepler-74 b","Kepler-74","b",200.22000000,0.63000000,10.76000000,7.34071100000,0.4200,6000.00,1.180000,1.120000,2013,"Transit"
"Kepler-75 b","Kepler-75","b",3209.90000000,10.10000000,11.77000000,8.88491160000,0.3000,5200.00,0.910000,0.890000,2013,"Transit"
"Kepler-76 b","Kepler-76","b",638.83830000,2.01000000,15.24424000,1.54492980000,-0.1000,6409.00,1.200000,1.320000,2013,"Orbital Brightness Modulation"
"Kepler-77 b","Kepler-77","b",136.66100000,0.43000000,10.76100000,3.57878087000,0.2000,5520.00,0.950000,0.990000,2013,"Transit"
"Kepler-78 b","Kepler-78","b",1.68000000,0.00528587,1.20100000,0.35500745000,-0.1800,5058.00,0.779000,0.747500,2013,"Transit"
"Kepler-79 b","Kepler-79","b",7.60000000,0.02391227,3.51000000,13.48451000000,0.0600,6389.00,1.244000,1.316000,2012,"Transit"
"Kepler-79 c","Kepler-79","c",4.60000000,0.01447322,3.76000000,27.40260000000,0.0600,6389.00,1.244000,1.316000,2012,"Transit"
"Kepler-79 d","Kepler-79","d",5.30000000,0.01667566,7.15000000,52.08970000000,0.0600,6389.00,1.244000,1.316000,2014,"Transit"
"Kepler-79 e","Kepler-79","e",3.80000000,0.01195614,3.53000000,81.06650000000,0.0600,6389.00,1.244000,1.316000,2014,"Transit"
"Kepler-8 b","Kepler-8","b",187.51970000,0.59000000,15.87194400,3.52249910000,-0.0550,6213.00,1.213000,1.486000,2010,"Transit"
"Kepler-80 b","Kepler-80","b",6.93000000,0.02180411,2.67000000,7.05246000000,0.0400,4540.00,0.730000,0.678000,2012,"Transit"
"Kepler-80 c","Kepler-80","c",6.74000000,0.02120631,2.74000000,9.52355000000,0.0400,4540.00,0.730000,0.678000,2012,"Transit"
"Kepler-80 d","Kepler-80","d",6.75000000,0.02123777,1.53000000,3.07222000000,0.0400,4540.00,0.730000,0.678000,2014,"Transit"
"Kepler-80 e","Kepler-80","e",4.13000000,0.01299437,1.60000000,4.64489000000,0.0400,4540.00,0.730000,0.678000,2014,"Transit"
"Kepler-849 b","Kepler-849","b",298.75870258,0.94000000,8.08167508,394.62508000000,0.1450,5950.00,1.259000,1.822000,2016,"Transit"
"Kepler-87 b","Kepler-87","b",324.20000000,1.02000000,13.49000000,114.73635000000,-0.1700,5600.00,1.100000,1.820000,2013,"Transit"
"Kepler-87 c","Kepler-87","c",6.40000000,0.02000000,6.14000000,191.23180000000,-0.1700,5600.00,1.100000,1.820000,2013,"Transit"
"Kepler-88 d","KOI-142","d",965.14699656,3.05046460,,1403.00000000000,0.2700,5466.00,0.990000,0.897000,2020,"Radial Velocity"
"Kepler-9 b","Kepler-9","b",43.40000000,0.13655099,8.29000000,19.23891000000,0.0500,5774.00,1.022000,0.958000,2010,"Transit"
"Kepler-9 c","Kepler-9","c",29.90000000,0.09407545,8.08000000,38.98530000000,0.0500,5774.00,1.022000,0.958000,2010,"Transit"
